AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202306,PF,PF,SUDESTE,CENTRO-OESTE,entre 50 e 59 anos,entre 30 e 39 anos,MANU,P2P,Pix,8722675.11,16695
202502,PF,PF,SUDESTE,SUL,entre 50 e 59 anos,mais de 60 anos,DICT,P2P,Pix,36210886.87,56188
202312,PF,PJ,NORDESTE,NORTE,entre 20 e 29 anos,Nao se aplica,MANU,P2G,Pix,727.49,4
202502,PF,PF,SUDESTE,Nao informado,entre 50 e 59 anos,Nao informado,DICT,P2P,Pix,21682.79,43
202403,PF,PJ,CENTRO-OESTE,NORDESTE,entre 50 e 59 anos,Nao se aplica,QRDN,P2B,Pix,45120503.63,1200575
202501,PF,PJ,NORTE,CENTRO-OESTE,mais de 60 anos,Nao se aplica,DICT,P2B,Pix,35996621.67,22267
202403,PF,PF,NORDESTE,SUDESTE,mais de 60 anos,entre 40 e 49 anos,QRES,P2P,Pix,1106817.34,16538
202505,PF,PJ,SUDESTE,SUL,entre 40 e 49 anos,Nao se aplica,DICT,P2B,Pix,439251606.92,386125
202409,PJ,PF,SUDESTE,SUDESTE,Nao se aplica,mais de 60 anos,DICT,G2P,Pix,6375782.93,3683
202402,PF,PF,Nao informado,Nao informado,entre 40 e 49 anos,entre 20 e 29 anos,QRES,P2P,Pix,15422.15,87
202503,PF,PJ,NORTE,SUDESTE,entre 20 e 29 anos,Nao se aplica,Nao disponivel,P2B,Nao disponivel,729561.46,1369
202502,PF,PF,NORTE,Nao informado,entre 20 e 29 anos,entre 20 e 29 anos,Nao disponivel,P2P,Nao disponivel,1616.75,27
202504,PF,PF,CENTRO-OESTE,NORDESTE,entre 30 e 39 anos,entre 40 e 49 anos,QRES,P2P,Pix,3041881.58,70248
202508,PF,PF,NORDESTE,NORTE,entre 50 e 59 anos,entre 30 e 39 anos,APDN,P2P,Pix,844.8,13
202505,PF,PJ,NORTE,CENTRO-OESTE,entre 30 e 39 anos,Nao se aplica,Nao disponivel,P2B,Nao disponivel,619348.8,271
202310,PJ,PF,CENTRO-OESTE,SUDESTE,Nao se aplica,mais de 60 anos,DICT,B2P,Pix,89889108.98,46581
202308,PF,PF,CENTRO-OESTE,NORTE,entre 40 e 49 anos,entre 20 e 29 anos,MANU,P2P,Pix,3793987.6,24081
202507,PF,PJ,NORTE,NORTE,entre 30 e 39 anos,Nao se aplica,QRDN,P2B,Pix,1155459852.87,16525147
202309,PF,PF,NORDESTE,Nao informado,mais de 60 anos,entre 20 e 29 anos,QRDN,P2P,Pix,168.0,20
202404,PF,PF,Nao informado,SUL,entre 40 e 49 anos,mais de 60 anos,DICT,P2P,Pix,2393118.23,2289
202307,PF,PF,NORTE,NORTE,até 19 anos,entre 50 e 59 anos,QRES,P2P,Pix,1834298.08,106796
202406,PF,PF,NORTE,Nao informado,até 19 anos,Nao informado,Nao disponivel,P2P,Nao disponivel,4.21,1
202404,PF,PF,Nao informado,NORDESTE,Nao informado,entre 30 e 39 anos,QRES,P2P,Pix,152.0,8
202505,PF,PF,CENTRO-OESTE,CENTRO-OESTE,até 19 anos,até 19 anos,QRDN,P2P,Pix,657619.57,21579
202411,PF,PF,NORTE,SUDESTE,entre 50 e 59 anos,entre 20 e 29 anos,MANU,P2P,Pix,1742128.51,16059
202504,PF,PF,NORTE,Nao informado,entre 50 e 59 anos,entre 30 e 39 anos,DICT,P2P,Pix,1160479.93,5924
202306,PF,PF,NORTE,CENTRO-OESTE,até 19 anos,até 19 anos,MANU,P2P,Pix,173226.48,4296
202306,PF,PF,NORTE,Nao informado,entre 50 e 59 anos,entre 50 e 59 anos,DICT,P2P,Pix,207889.11,876
202303,PF,PF,SUL,SUL,entre 50 e 59 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,54418.45,755
202411,PF,PF,Nao informado,NORDESTE,até 19 anos,entre 40 e 49 anos,MANU,P2P,Pix,6714.45,130
202309,PF,PF,SUDESTE,Nao informado,mais de 60 anos,até 19 anos,MANU,P2P,Pix,22840.0,20
