AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202104,3171808,VIRGINÓPOLIS,31,MINAS GERAIS,SE,SUDESTE,3651765.75,7575,434987.04,500,3580383.51,6853,787394.05,985,1478,84,1513,108
202111,5219308,SANTA HELENA DE GOIÁS,52,GOIÁS,CO,CENTRO-OESTE,69812027.39,166034,30097285.19,14761,61793327.93,146778,36090790.25,24331,13305,988,14294,953
202205,4321832,TRÊS FORQUILHAS,43,RIO GRANDE DO SUL,SU,SUL,2894967.1,9313,928043.35,554,3364956.07,8256,481255.43,951,914,38,879,38
202112,4115309,MARIÓPOLIS,41,PARANÁ,SU,SUL,5958780.71,15841,17555190.55,2891,6158099.63,11797,13371929.04,4924,1765,218,1701,214
202210,3522208,ITAPECERICA DA SERRA,35,SÃO PAULO,SE,SUDESTE,332608283.26,1619927,137514943.23,105200,370088109.91,1344762,143558505.81,195873,93582,4968,95916,4727
202205,4311775,MAQUINÉ,43,RIO GRANDE DO SUL,SU,SUL,7922099.03,27432,2385968.68,2865,8244942.65,20956,2993181.91,5624,2593,191,2417,177
202211,4213351,PONTE ALTA DO NORTE,42,SANTA CATARINA,SU,SUL,3788750.63,16899,4102891.4,2107,4175202.41,12307,3792309.75,2805,1434,111,1368,105
202407,2907004,CARDEAL DA SILVA,29,BAHIA,NE,NORDESTE,21241624.59,187791,5418487.47,3397,20380354.65,118000,3850792.23,7860,5086,127,5074,125
202012,3112208,CAPELA NOVA,31,MINAS GERAIS,SE,SUDESTE,340915.15,490,55179.24,33,355909.35,494,22139.36,18,162,11,171,9
202204,2910750,FÁTIMA,29,BAHIA,NE,NORDESTE,13005661.69,51824,2579296.76,1633,13272456.49,47591,3009645.48,3557,4077,136,4437,132
202012,2311603,REDENÇÃO,23,CEARÁ,NE,NORDESTE,2853148.27,7108,1177811.85,289,2806877.04,7380,1165609.71,277,1631,46,1633,45
202102,2921054,MATINA,29,BAHIA,NE,NORDESTE,743574.49,1462,11401.89,21,1014853.0,1516,37208.23,38,353,9,443,8
202110,4114500,MANOEL RIBAS,41,PARANÁ,SU,SUL,10387309.42,23604,5786617.2,3390,11184082.94,18679,4679503.41,6336,3134,299,2876,325
202309,2111722,SATUBINHA,21,MARANHÃO,NE,NORDESTE,10521065.39,89327,1266712.44,1428,9797435.04,50191,1407831.38,5496,3107,56,3057,49
202409,2503902,CAMALAÚ,25,PARAÍBA,NE,NORDESTE,14189733.02,92828,2259957.75,2733,13771539.71,61016,2106675.65,14556,3080,88,2997,82
202406,2104008,ESPERANTINÓPOLIS,21,MARANHÃO,NE,NORDESTE,43088673.54,313014,6087801.94,10546,41750997.32,204191,6447971.74,42232,9544,211,9180,192
